開催日,格,レース名,競馬場,距離,馬名,父,母,母父,馬主,生産牧場,セリ結果,写真URL
2026/01/17,,3歳未勝利,中山,ダ1200m,サントマーレ,ロードカナロア,リミニ,ディープインパクト,シルクレーシング,ノーザンファーム,,
2026/01/17,,3歳未勝利,京都,芝2000m,ラコンチャビエン,キズナ,チェロキーメイドン,Distorted Humor,モンレーヴ,グランド牧場,,
2026/01/17,,3歳未勝利,京都,ダ1800m,リアライズグリント,キタサンブラック,マドラスチェック,Malibu Moon,今福　洋介,追分ファーム,"16,500万円（セレクトセール）",
2026/01/17,,4歳上1勝クラス,中山,芝2200m,クリフハンガー,ルーラーシップ,リリックドラマ,ステイゴールド,ゴドルフィン,ダーレー・ジャパン・ファーム,,
2026/01/17,,4歳上1勝クラス,京都,ダ1800m,ロカヒ,キズナ,テンモース,Speightstown,前田　幸治,ノースヒルズ,,
2026/01/17,,4歳上2勝クラス,京都,芝1600m,カズミクラーシュ,モーリス,シャンボールフィズ,キングカメハメハ,吉田　和美,ノーザンファーム,"7,040万円（セレクトセール）",
2026/01/17,,アレキサンドライトステークス（4歳以上3勝クラス）,中山,ダ1800m,チュウワクリスエス,ルヴァンスレーヴ,チュウワベイビー,サウスヴィグラス,中西　忍,若林　順一,,
2026/01/17,,羅生門ステークス（4歳以上3勝クラス）,京都,ダ1400m,エストレヤデベレン,エピファネイア,レゼトワール,ファスリエフ,シルクレーシング,新冠橋本牧場,"4,070万円（北海道セレクションセール）",
2026/01/17,,菜の花賞（3歳1勝クラス）,中山,芝1600m,アメティスタ,キタサンブラック,ティアーモ,キングカメハメハ,ロードホースクラブ,ケイアイファーム,,
2026/01/18,,3歳新馬,京都,芝2000m,クリスレジーナ,エピファネイア,ファンディーナ,ディープインパクト,ターフ・スポート,谷川牧場,,
2026/01/18,,3歳未勝利,京都,ダ1800m,アミラル,ルヴァンスレーヴ,ベルキューズ,ヘニーヒューズ,カナヤマホールディングス,村田牧場,"1,760万円（北海道サマーセール）",
2026/01/18,,3歳未勝利,中山,ダ1800m,サイモフェーン,クリソベリル,セレナズヴォイス,オナーコード,キャロットファーム,社台コーポレーション白老ファーム,,
2026/01/18,,4歳上2勝クラス,中山,芝2200m,フィーリウス,キタサンブラック,レーヴドゥラメール,ロードカナロア,落合　幸弘,ノーザンファーム,"5,060万円（セレクトセール）",
2026/01/18,,4歳上2勝クラス,中山,ダ1800m,レディーフランシス,オルフェーヴル,アンブルサイド,ウォーエンブレム,梅澤　明,社台ファーム,"2,640万円（セレクトセール）",
2026/01/18,G3,京成杯,中山,芝2000m,グリーンエナジー,スワーヴリチャード,シンバル２,Singspiel,鈴江　崇文,辻　牧場,"10,120万円（セレクトセール）",
2026/01/18,,大津特別（4歳以上2勝クラス）,京都,ダ1800m,バッケンレコード,オルフェーヴル,ホウショウアマネ,Unbridled's Song,芳賀　美知子,清水スタッド,,
2026/01/18,,小倉山特別（4歳以上2勝クラス）,京都,ダ1400m,トゥロン,ナダル,スパイラルステップ,シンボリクリスエス,吉田　勝己,社台コーポレーション白老ファーム,,
2026/01/18,,若潮ステークス（4歳以上3勝クラス）,中山,芝1600m,ポルカリズム,ロードカナロア,フロアクラフト,フジキセキ,キャロットファーム,ノーザンファーム,,
2026/01/24,,3歳1勝クラス,中山,ダ1800m,クラウトロック,ナダル,スミレ,ダイワメジャー,林　正道,ノーザンファーム,,
2026/01/24,,3歳新馬,小倉,芝2000m,ボンドマティーニ,レイデオロ,ラクアミ,ダイワメジャー,窪田　芳郎,ノーザンファーム,"7,920万円（セレクトセール）",
